date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,positive_rate,hospitalization_rate
2021-03-07,ND,100391,5463.0,305912.0,,totalTestEncountersViral,1425146,23.0,3880.0,3.0,567.0,,,98326.0,3/7/2021 01:59,2021-03-07T01:59:00Z,03/06 20:59,1478,3880.0,,2021-03-07T01:59:00Z,1536487.0,,,94928.0,,,1425146.0,406303.0,,,,,,,,,156698.0,,38,34,-109,406303,679,406303,,0,2,ee1d9ce00226b7456452f7d4f6674248577e0c4b,0,0,0,0,0,,0.07044260728374496,0.00022910420256795928
2021-03-07,NE,203026,,771128.0,,totalTestsViral,2421684,137.0,6237.0,,,,,157144.0,3/7/2021 11:15,2021-03-07T11:15:00Z,03/07 06:15,2113,6237.0,,2021-03-07T11:15:00Z,2421684.0,235965.0,2182938.0,,,,,974759.0,,,,,,,,,,,31,373,542,974154,1,974154,,0,8,3f55dc5e02818a3abbd58e07cf80bdfe4abc60f1,0,0,0,0,0,,0.08383670206352274,0.0006747904209313093
2021-03-07,NH,76861,22797.0,579582.0,,totalTestsViral,1497185,68.0,1131.0,,348.0,,,73615.0,3/7/2021 09:00,2021-03-07T09:00:00Z,03/07 04:00,1184,1131.0,,2021-03-07T09:00:00Z,1497185.0,,,54064.0,,,,633646.0,39545.0,,,37918.0,,,,,205103.0,,33,166,396,656443,15697,656443,,3,4,984a5b49a111e92bec03e2188180fa977e211111,0,0,0,0,0,,0.051337009120449376,0.0008847139641690845
2021-03-07,NJ,812609,91670.0,10186941.0,,posNeg,10999550,1792.0,64396.0,376.0,,232.0,,,3/7/2021 00:00,2021-03-07T00:00:00Z,03/06 19:00,23574,64396.0,77193.0,2021-03-07T00:00:00Z,10902830.0,,,720939.0,21177.0,2397.0,,,,,,,,,,,,,34,2519,0,10999550,2519,10999550,,17,58,343068629601e5564b578db7541484baf3ef552f,0,0,0,0,0,,0.07387656767776864,0.0022052426197593186
2021-03-07,NM,186922,,,,totalTestsViral,2783542,169.0,13252.0,,,,,156554.0,3/7/2021 17:37,2021-03-07T17:37:00Z,03/07 12:37,3808,13252.0,,2021-03-07T17:37:00Z,2783542.0,,,,,,,,,,,,,,,,,,35,180,0,186922,11702,186922,,12,10,254a01ca85894315ed1ae612eb1b457ed198ac62,0,0,0,0,0,,0.0671525703581983,0.000904120435261767
2021-03-07,NV,296190,,1131758.0,,totalTestEncountersViral,2770192,399.0,,87.0,,48.0,,,3/6/2021 00:00,2021-03-06T00:00:00Z,03/05 19:00,5037,,,2021-03-06T00:00:00Z,,,,296190.0,,,2770192.0,1427948.0,,,,,,,,,,,32,730,1829,1427948,6201,1427948,,1,0,fcbdfd6c3ee8359e623bb9bc5a6bdb0fc780b75e,0,0,0,0,0,,0.10692038674575625,0.0013471082750936899
2021-03-07,NY,1681169,,,,totalTestEncountersViral,39695100,4789.0,,999.0,,682.0,,,3/6/2021 14:00,2021-03-06T14:00:00Z,03/06 09:00,39029,,150100.0,2021-03-06T14:00:00Z,,,,,,,39695100.0,,,,,,,,,,,,36,6789,0,1681169,227768,1681169,,59,0,8b1ad6376deb03844d4e5e3f615197da1b3a214e,0,0,0,0,0,,0.04235205352801731,0.002848613078161684
2021-03-07,OH,978471,142113.0,,,totalTestsViral,10257157,820.0,50881.0,260.0,7207.0,171.0,,925655.0,3/7/2021 14:00,2021-03-07T14:00:00Z,03/07 09:00,17656,50881.0,,2021-03-07T14:00:00Z,10257157.0,864925.0,,836358.0,14752.0,2594.0,,,,,,,,,,,1798150.0,86990.0,39,735,0,978471,29289,978471,,0,33,b32fec674723dd2c970e0f0c05036a44be63b80b,0,0,0,0,0,,0.09539397710301208,0.000838042210755352
2021-03-07,OK,428997,,3146300.0,2984.0,posNeg,3575297,346.0,24332.0,100.0,,,,412177.0,,,,4534,24332.0,,,3548479.0,389855.0,3146300.0,,,,,,152279.0,23139.0,,,,,,,,,40,461,0,3578281,461,3575297,,0,55,3019887dd90821b78021a57adfdafde0617d7a31,0,0,0,0,0,,0.11998919250624493,0.0008065324466138458
2021-03-07,OR,157079,,,,totalTestsViral,3850973,158.0,8714.0,32.0,,12.0,,,3/6/2021 03:01,2021-03-06T03:01:00Z,03/05 22:01,2296,8714.0,,2021-03-06T03:01:00Z,3850973.0,226972.0,3624001.0,,,,,,,,,,,,,,,,41,195,0,157079,0,157079,,3,0,1ad86cf428e4cfe4db9d50dbee81e76f8a780e29,0,0,0,0,0,,0.04078943165792126,0.0010058632917194534
2021-03-07,PA,948643,134103.0,3942124.0,,totalTestEncountersViral,10681716,1587.0,,314.0,,183.0,,861756.0,3/7/2021 12:00,2021-03-07T12:00:00Z,03/07 07:00,24349,,,2021-03-07T12:00:00Z,,,,814540.0,,,10681716.0,4756664.0,,,,,,,,,,,42,1658,6592,4890767,52432,4890767,,32,0,cc747d66ac5b93580b1cd7b3f292eb5ee0fb5910,0,0,0,0,0,,0.08880998146739719,0.0016729159441433712
2021-03-07,PR,101632,8012.0,305972.0,,posNeg,407604,134.0,,21.0,,19.0,,91987.0,3/7/2021 00:00,2021-03-07T00:00:00Z,03/06 19:00,2062,,,2021-03-07T00:00:00Z,415664.0,20103.0,395291.0,93620.0,1752.0,310.0,,,,85241.0,,,,,,,,,72,305,0,407604,305,407604,,3,0,19eb8a58faff57a7aba79ef467260b8ccd35a873,0,0,0,0,0,,0.24934004573066015,0.0013184823677581865
